,id,user,lat,long,tags,title,date_upload,date_taken,date_taken_bin,date_upload_bin,uploaded_via,foursquare_venue,links,file_title,people_tag
2018,22170094368,16085286@N05,45.641884,4.724078,"33,vehicle,amateur,alfaromeo,voitures,anciennes,veloce,kenko,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 14:50:00+00:00,2015-10-18 11:50:00+00:00,morning,afternoon,,,,,
2019,22344759232,16085286@N05,45.641884,4.724078,"vehicle,amateur,voitures,anciennes,kenko,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 14:50:00+00:00,2015-10-18 11:50:00+00:00,morning,afternoon,,,,,
2020,22368494501,16085286@N05,45.641884,4.724078,"usa,car,us,super,made,american,vehicle,amateur,voitures,anciennes,kenko,américaine,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 14:50:00+00:00,2015-10-18 11:50:00+00:00,morning,afternoon,,,,,
2021,22344750962,16085286@N05,45.641884,4.724078,"usa,car,us,super,made,american,vehicle,amateur,voitures,anciennes,kenko,américaine,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 14:50:00+00:00,2015-10-18 11:50:00+00:00,morning,afternoon,,,,,
2022,22357812435,16085286@N05,45.641884,4.724078,"usa,car,us,super,made,american,vehicle,amateur,voitures,anciennes,kenko,américaine,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 14:50:00+00:00,2015-10-18 11:50:00+00:00,morning,afternoon,,,,,
2023,21735041484,16085286@N05,45.641884,4.724078,"usa,car,us,super,made,american,vehicle,hummer,amateur,voitures,anciennes,kenko,américaine,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 14:50:00+00:00,2015-10-18 11:50:00+00:00,morning,afternoon,,,,,
2024,22169776480,16085286@N05,45.641884,4.724078,"usa,car,us,super,made,american,vehicle,hummer,amateur,voitures,anciennes,kenko,américaine,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 14:50:00+00:00,2015-10-18 11:50:00+00:00,morning,afternoon,,,,,
2025,21734042894,16085286@N05,45.641884,4.724078,"vehicle,amateur,voitures,anciennes,kenko,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 13:55:00+00:00,2015-10-18 11:55:00+00:00,morning,midday,,,,,
2026,22367481311,16085286@N05,45.641884,4.724078,"vehicle,amateur,voitures,anciennes,kenko,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 13:55:00+00:00,2015-10-18 11:55:00+00:00,morning,midday,,,,,
2027,22343740342,16085286@N05,45.641884,4.724078,"usa,car,us,super,made,american,vehicle,amateur,voitures,anciennes,kenko,américaine,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 13:55:00+00:00,2015-10-18 11:55:00+00:00,morning,midday,,,,,
2028,21735691203,16085286@N05,45.641884,4.724078,"vehicle,amateur,voitures,anciennes,kenko,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 13:55:00+00:00,2015-10-18 11:55:00+00:00,morning,midday,,,,,
2029,22367474491,16085286@N05,45.641884,4.724078,"vehicle,amateur,voitures,anciennes,kenko,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 13:55:00+00:00,2015-10-18 11:55:00+00:00,morning,midday,,,,,
2030,22343517522,135974300@N02,45.774727,4.857088,"pink,plant,france,rose,canon,plante,de,eos,lyon,jardin,rhône,peony,ii,usm,botany,botanique,fr,botanicalgarden,ef,6d,jardinbotanique,pivoine,paeonia,dicotyledon,angiospermae,2470mm,floweringplants,saxifragales,rhônealpes,paeoniaceae,magnoliophyta,magnoliidae,angiosperms,f28l,eudicots,vraies,dicotyledoneae,tracheobionta,vascularplant,parcbotanique,dicotylédones,dicotylédone,canoneos6d,eudicotyledons,canonef2470mmf28liiusm,angiospermes,jardinbotaniquedelyon,eudicotidae,dicotylédonesvraies,paéoniacées,jardinbotaniqueduparcdelatêtedor,",Paeonia lactiflora 'La Perle' (Pivoine de Chine 'La Perle'),2015-10-21 13:42:00+00:00,2015-05-25 15:42:00+00:00,afternoon,midday,,,,,
2031,21734956553,16085286@N05,45.641884,4.724078,"vehicle,amateur,voitures,anciennes,kenko,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 13:14:00+00:00,2015-10-18 11:14:00+00:00,morning,midday,,,,,
2032,21734951193,16085286@N05,45.641884,4.724078,"vehicle,amateur,voitures,anciennes,kenko,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 13:14:00+00:00,2015-10-18 11:14:00+00:00,morning,midday,,,,,
2033,22342996402,16085286@N05,45.641884,4.724078,"vehicle,amateur,voitures,anciennes,kenko,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-21 13:14:00+00:00,2015-10-18 11:14:00+00:00,morning,midday,,,,,
2034,22353434785,20342758@N00,45.761557,4.82907,"france,statue,night,self,one,michael,october,lyon,nuit,weight,ingar,elmgreen,dragset,2015,",Lyon 19 October 2015 102,2015-10-21 10:48:00+00:00,2015-10-19 21:48:00+00:00,evening,morning,,,,,
2035,22364066721,20342758@N00,45.763644,4.828244,"world,france,night,french,stand,october,lyon,magic,papa,nuit,français,barbe,crêpes,2015,barbeàpapa,",Lyon 19 October 2015 075,2015-10-21 10:48:00+00:00,2015-10-19 20:48:00+00:00,evening,morning,,,,,
2036,22165336710,20342758@N00,45.788802,4.814022,"france,sign,october,lyon,ghost,tabac,2015,",Lyon 20 October 2015 090,2015-10-21 10:48:00+00:00,2015-10-20 12:48:00+00:00,midday,morning,,,,,
2037,22165428668,20342758@N00,45.756392,4.833801,"france,night,de,october,tour,lyon,horloge,nuit,octobre,charité,hôpital,lhorloge,2015,",Lyon 19 October 2015 063,2015-10-21 10:48:00+00:00,2015-10-19 18:48:00+00:00,evening,morning,,,,,
2038,22339831762,46032524@N00,45.775132,4.805563,"square,squareformat,hudson,iphoneography,instagramapp,suitup",Je suis en retard pour le taf #suitup,2015-10-21 10:10:00+00:00,2015-10-21 10:10:00+00:00,morning,morning,instagram,,,,
2039,21729442334,19710808@N05,45.732404,4.818084,,,2015-10-21 09:30:00+00:00,2015-06-25 11:30:00+00:00,morning,morning,,,,,
2040,22164096930,130416767@N03,45.785788,4.73072,"château,",Château de Lacroix-Laval,2015-10-21 09:34:00+00:00,2015-10-17 14:34:00+00:00,afternoon,morning,,,,,
2041,21726170234,82782482@N03,45.948046,4.582103,"sky,sun,france,mountains,rooftop,clouds,vintage,french,landscape,countryside,vineyard,europe,wine,lyon,cloudy,drink,hill,farming,harvest,vine,sunny,bluesky,tourist,panoramic,winery,alcohol,valley,grapes,fields,beaujolais,redwine,agriculture,vacations,whitewine,hilly,touring,baste,picking,agricultural,panarama,gloaming,rhone,rhonealpes,aoc,grapepicking,beaujolaisvillages,oingt,azergues,grapeharvesting,gamaygrape,","Panorama of the Beaujolais, Rhone, France",2015-10-21 06:26:00+00:00,2014-06-14 06:26:00+00:00,early morning,early morning,,,,,
2042,22158112709,135974300@N02,45.773575,4.856683,"cactus,plant,france,green,canon,plante,de,eos,lyon,jardin,vert,rhône,ii,usm,opuntia,cactaceae,botany,botanique,fr,botanicalgarden,ef,cactées,6d,jardinbotanique,dicotyledon,angiospermae,2470mm,floweringplants,rhônealpes,magnoliophyta,magnoliidae,caryophyllales,angiosperms,f28l,eudicots,vraies,dicotyledoneae,tracheobionta,vascularplant,parcbotanique,dicotylédones,cactacées,dicotylédone,cactusraquette,canoneos6d,eudicotyledons,canonef2470mmf28liiusm,angiospermes,jardinbotaniquedelyon,eudicotidae,dicotylédonesvraies,jardinbotaniqueduparcdelatêtedor,",Opuntia quimilo,2015-10-21 02:44:00+00:00,2015-05-25 13:44:00+00:00,midday,early morning,,,,,
2043,22156931640,135974300@N02,45.773025,4.856036,"red,plant,france,green,yellow,jaune,canon,plante,de,rouge,eos,lyon,jardin,vert,rhône,ii,usm,botany,botanique,fr,botanicalgarden,heliconia,ef,6d,jardinbotanique,monocotyledoneae,2470mm,rhônealpes,lobsterclaws,heliconiaceae,zingiberales,zingiberidae,f28l,parcbotanique,falsebirdofparadise,canoneos6d,monocotylédone,héliconia,canonef2470mmf28liiusm,wildplantains,angiospermes,jardinbotaniquedelyon,jardinbotaniqueduparcdelatêtedor,",Heliconia Rostrata,2015-10-21 02:44:00+00:00,2015-05-25 12:44:00+00:00,midday,early morning,,,,,
